alpha,lambda_threshold,exact_fnr,partial_fnr
0.01,0.9998742938041687,0.020635235359495976,0.01409944781383667
0.01191919191919192,0.9998710751533508,0.01744483623642699,0.014052502774959695
0.013838383838383839,0.9998725652694702,0.01917279311065824,0.017106673622876288
0.01575757575757576,0.9998771548271179,0.024662593105246593,0.017977477016279414
0.017676767676767676,0.9998763203620911,0.023135192780957093,0.020164174612590475
0.019595959595959597,0.9998796582221985,0.02704331755234262,0.022542406894361586
0.021515151515151515,0.9998812079429626,0.031016232318985808,0.025611221043186933
0.023434343434343433,0.9998826384544373,0.03240799445880963,0.02732065072628734
0.025353535353535354,0.9998836517333984,0.0336944991843362,0.027989665507256064
0.027272727272727275,0.9998853802680969,0.03635156142057201,0.03017265231240791
0.029191919191919193,0.9998857378959656,0.03817083908223782,0.031669190767258076
0.03111111111111111,0.999886691570282,0.03895682067441097,0.03641722262737586
0.03303030303030303,0.9998877644538879,0.040819717117805465,0.03585499142942621
0.03494949494949495,0.9998883605003357,0.04157202551095365,0.042290055436117815
0.03686868686868687,0.9998902678489685,0.045986257984200814,0.04198464755962938
0.03878787878787879,0.9998898506164551,0.04376560343684173,0.04526150167527218
0.040707070707070706,0.999891996383667,0.04901536824775461,0.04516116945543509
0.04262626262626263,0.9998932480812073,0.053041656447477506,0.046829695833663865
0.04454545454545455,0.9998935461044312,0.05435536778665551,0.05146090884887087
0.046464646464646465,0.9998953342437744,0.058069005673243836,0.056188016180279944
0.04838383838383838,0.9998956322669983,0.05750126678560046,0.05580160858007306
0.05030303030303031,0.9998964071273804,0.06040127621949502,0.0562778668223499
0.052222222222222225,0.9998967051506042,0.06037446969947743,0.05691954792755869
0.05414141414141414,0.9998974800109863,0.06371316311830297,0.05415397428292757
0.05606060606060606,0.9998965263366699,0.060308109944048026,0.06101461237540902
0.05797979797979798,0.9998996257781982,0.06927335926910112,0.06435223428252546
0.0598989898989899,0.9999009966850281,0.0724058019101005,0.06305336793440441
0.06181818181818182,0.9998992681503296,0.0669860257246356,0.0639903937442328
0.06373737373737373,0.9998983144760132,0.06489660591177096,0.07092447613219778
0.06565656565656565,0.9999017119407654,0.07692412784951293,0.0706016960635393
0.06757575757575758,0.9999010562896729,0.07205185859385826,0.07082524480202854
0.0694949494949495,0.9999041557312012,0.08343384267648495,0.07789292256231434
0.07141414141414142,0.9999024868011475,0.07696362364858317,0.07789680157818635
0.07333333333333333,0.9999025464057922,0.0782498825131455,0.07762592146278863
0.07525252525252525,0.9999041557312012,0.08250751676729902,0.08259401791403292
0.07717171717171717,0.9999043941497803,0.08523963696923102,0.0860465510407465
0.07909090909090909,0.9999057054519653,0.08913143438706277,0.08432990959946912
0.081010101010101,0.999904990196228,0.08743872410415086,0.0895657375979583
0.08292929292929292,0.9999070167541504,0.09420641781750275,0.09008679303767005
0.08484848484848484,0.9999082684516907,0.09985196224588959,0.0926982050530402
0.08676767676767676,0.9999081492424011,0.09846194805786185,0.08947467444873743
0.08868686868686868,0.9999062418937683,0.09179928586148862,0.09882643318148529
0.0906060606060606,0.9999086260795593,0.09945995169265473,0.09118386273455167
0.09252525252525252,0.9999078512191772,0.09673269313208527,0.10565647520679436
0.09444444444444444,0.9999098777770996,0.10606895678522024,0.10222440137045806
0.09636363636363636,0.9999088048934937,0.10035849717085661,0.09933118099432914
0.09828282828282828,0.999909520149231,0.1047956201811986,0.10673594892598443
0.1002020202020202,0.999910295009613,0.10766666131295859,0.10483571102071908
0.10212121212121211,0.9999105334281921,0.11007354308558868,0.11127833131001331
0.10404040404040403,0.9999119639396667,0.11529268426599774,0.11285031703987285
0.10595959595959595,0.9999117255210876,0.11476562375723075,0.1106185937681594
0.10787878787878788,0.999910831451416,0.11064087985949435,0.11628876250541179
0.1097979797979798,0.9999108910560608,0.11066776284332329,0.11343863322561429
0.11171717171717171,0.9999130368232727,0.12013349081036877,0.12093246886055453
0.11363636363636363,0.9999133348464966,0.12026239264176425,0.1224835069419004
0.11555555555555555,0.9999134540557861,0.1212095166824402,0.12226369289294438
0.11747474747474747,0.9999141693115234,0.12740477465171238,0.11423699699955345
0.11939393939393939,0.9999145269393921,0.12745220540606667,0.12669113525534853
0.1213131313131313,0.9999139904975891,0.12458908142938827,0.1270781475616754
